area,year,month,crime_count,avg_severity,pct_critical,pct_high,pct_night,pct_weekend,pct_festival,pct_violent,pct_property,n_crime_types,avg_hour,month_sin,month_cos,quarter,is_festival_month,area_base_weight,zone_Central,zone_East,zone_North,zone_South,zone_West,crime_count_lag_1,crime_count_lag_2,crime_count_lag_3,crime_count_lag_12,rolling_avg_3m,rolling_avg_6m,rolling_std_3m,mom_change,yoy_change,target_crime_count
Ambavadi,2023,1,7,2.0,0.2857142857142857,0.0,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,6,13.285714285714286,0.49999999999999994,0.8660254037844387,1,1,3,0,0,0,0,1,7.392857142857143,7.2592592592592595,6.923076923076923,6.235294117647059,7.166666666666667,6.861309523809523,0.0,0.22088164811379093,0.690826330532213,3.0
Ambavadi,2023,2,3,2.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3,17.333333333333332,0.8660254037844386,0.5000000000000001,1,0,3,0,0,0,0,1,7.0,7.2592592592592595,6.923076923076923,6.235294117647059,7.0,7.0,0.0,-0.5714285714285714,0.690826330532213,6.0
Ambavadi,2023,3,6,2.1666666666666665,0.16666666666666666,0.0,0.5,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,5,13.5,1.0,6.123233995736766e-17,1,1,3,0,0,0,0,1,3.0,7.0,6.923076923076923,6.235294117647059,5.0,5.0,2.8284271247461903,1.0,0.690826330532213,5.0
Ambavadi,2023,4,5,2.8,0.2,0.6,0.2,0.4,0.0,0.2,0.6,3,8.2,0.8660254037844387,-0.4999999999999998,2,0,3,0,0,0,0,1,6.0,3.0,7.0,6.235294117647059,5.333333333333333,5.333333333333333,2.081665999466133,-0.16666666666666663,0.690826330532213,5.0
Ambavadi,2023,5,5,2.0,0.0,0.2,0.2,0.0,0.0,0.0,0.8,5,12.0,0.49999999999999994,-0.8660254037844387,2,0,3,0,0,0,0,1,5.0,6.0,3.0,6.235294117647059,4.666666666666667,5.25,1.5275252316519465,0.0,0.690826330532213,5.0
Ambavadi,2023,6,5,2.4,0.0,0.6,0.4,0.0,0.0,0.4,0.4,5,10.4,1.2246467991473532e-16,-1.0,2,0,3,0,0,0,0,1,5.0,5.0,6.0,6.235294117647059,5.333333333333333,5.2,0.577350269189625,0.0,0.690826330532213,2.0
Ambavadi,2023,7,2,2.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2,13.5,-0.4999999999999997,-0.8660254037844388,3,0,3,0,0,0,0,1,5.0,5.0,5.0,6.235294117647059,5.0,5.166666666666667,0.0,-0.6,0.690826330532213,6.0
Ambavadi,2023,8,6,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5,0.5,5,15.5,-0.8660254037844385,-0.5000000000000004,3,0,3,0,0,0,0,1,2.0,5.0,5.0,6.235294117647059,4.0,4.333333333333333,1.7320508075688772,2.0,0.690826330532213,3.0
Ambavadi,2023,9,3,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3,14.333333333333334,-1.0,-1.8369701987210297e-16,3,0,3,0,0,0,0,1,6.0,2.0,5.0,6.235294117647059,4.333333333333333,4.833333333333333,2.081665999466133,-0.5,0.690826330532213,8.0
Ambavadi,2023,10,8,2.25,0.125,0.375,0.375,0.375,0.125,0.25,0.375,8,8.0,-0.8660254037844386,0.5000000000000001,4,1,3,0,0,0,0,1,3.0,6.0,2.0,6.235294117647059,3.6666666666666665,4.333333333333333,2.0816659994661326,1.6666666666666665,0.690826330532213,10.0
